vintage_quarter,repo_full_name,clone_url,stars_at_discovery,archived_at_discovery,created_at_github,first_commit_date,snapshot_date,snapshot_sha,age_days_at_snapshot,is_young_partial,state_n_files,state_parsed_files,state_parse_rate,state_total_lines,state_n_functions,state_mean_comment_len,state_median_comment_len,state_p90_comment_len,state_mean_complexity,state_median_complexity,state_p90_complexity,state_mean_func_len,state_median_func_len,state_p90_func_len,state_mean_body_len,state_median_body_len,state_p90_body_len,state_mean_docstring_len,state_median_docstring_len,state_p90_docstring_len,state_frac_functions_with_docstring,flow_n_commits,flow_n_contributors,flow_mean_added_comment_len,flow_median_hunk_added,flow_mean_hunk_added,flow_median_added_code_lines_per_commit,flow_mean_added_code_lines_per_commit,flow_total_added_code_lines,flow_total_added_comment_lines,flow_total_added_blank_lines,flow_total_raw_added_lines,flow_total_raw_deleted_lines,flow_total_raw_n_files
2014Q2,StackStorm/st2,https://github.com/StackStorm/st2.git,6534,0,2014-04-23T00:51:34Z,2014-04-22T17:51:34-07:00,2014-10-19,bd36e3aa540bc524d428443c1b1cec25b67891c7,180,0,182,180,0.989010989010989,11399,664,48.68,45.0,79,2.335843373493976,1.0,5,9.965361445783133,6.0,23,9.42921686746988,6.0,20,0.536144578313253,0.0,1,0.10542168674698796,818,11,47.48310023310023,2.5,8.585207357445412,9.0,36.90586797066015,30189,1716,6295,52657,31756,2772
2014Q2,spotipy-dev/spotipy,https://github.com/spotipy-dev/spotipy.git,5472,0,2014-04-05T13:11:25Z,2014-04-05T09:12:01-04:00,2014-10-02,06b54e4c1dbd3a2b1ae8772dc900e2daca60b052,180,0,4,3,0.75,704,50,40,44.5,63,1.94,2.0,3,10.16,9.0,17,6.12,4.0,12,4.04,5.0,8,0.68,65,11,49.61538461538461,2.6666666666666665,16.83349420849421,1.0,20.723076923076924,1347,13,327,3054,1422,155
2014Q3,explosion/spaCy,https://github.com/explosion/spaCy.git,33887,0,2014-07-03T15:15:40Z,2014-07-04T01:15:40+10:00,2014-12-31,5d9a096e2f4ab6e4d1ada55f58cb69a8e2230f48,180,0,8,8,1.0,530,53,41.25,35.0,73,2.3962264150943398,1,5,6.0754716981132075,4,14,5.660377358490566,4,12,0.41509433962264153,0,0,0.05660377358490566,174,1,39.25,2.6,11.573315573315575,0.0,5.5344827586206895,963,20,181,4441,2373,277
2014Q3,jumpserver/jumpserver,https://github.com/jumpserver/jumpserver.git,31508,0,2014-07-04T03:54:59Z,2014-07-04T11:57:52+08:00,2014-12-31,9d9c7759c9f4db040913e8d07b9be550445db394,180,0,1396,1396,1.0,124288,6789,30.61376994122586,23.0,68,2.74650169391663,2,6,10.081897186625424,6,21,9.928708204448373,6,21,0.15318898217705113,0,0,0.04639858594785683,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0
2014Q3,gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot.git,14508,0,2014-09-28T14:49:00Z,2014-09-06T11:58:13-04:00,2015-03-05,940f30813a12ba161bbe0893ae46eff722eaae9e,180,0,11,11,1.0,852,43,38.57831325301205,35,65,2.604651162790698,1,6,17.651162790697676,16,34,16.023255813953487,15,32,1.627906976744186,0,4,0.4186046511627907,79,2,38.03291139240506,2.2,9.892251118987536,7.0,41.32911392405063,3265,395,920,6443,5301,209
2014Q3,asweigart/pyautogui,https://github.com/asweigart/pyautogui.git,12683,0,2014-07-17T23:30:38Z,2014-07-17T16:30:38-07:00,2015-01-13,93c3e2d8eb7ee3e44b605227b3004ae3d20fd493,180,0,10,10,1.0,2553,78,24.86682808716707,13,55,4.666666666666667,4.0,9,19.705128205128204,16.0,43,11.85897435897436,10.0,23,7.846153846153846,3.0,22,0.5384615384615384,82,3,52.78703703703704,2.0,7.141074855893934,5.0,53.0609756097561,4351,216,845,6448,3096,173
2014Q3,matrix-org/synapse,https://github.com/matrix-org/synapse.git,12106,1,2014-08-11T15:51:42Z,2014-08-12T15:10:52+01:00,2015-02-08,559a26b025133bd36016ab8314f8d92b52d20e25,180,0,122,106,0.8688524590163934,20525,694,43.56627634660421,48,69,2.229106628242075,1.0,4,14.688760806916427,10.0,31,13.214697406340058,8.0,29,1.4740634005763689,0.0,8,0.21613832853025935,1350,9,42.66282578875172,2.0,6.071589185822764,4.0,23.217777777777776,31344,3645,6103,56041,37222,3389
2014Q3,darknessomi/musicbox,https://github.com/darknessomi/musicbox.git,9840,0,2014-08-05T03:28:24Z,2014-08-05T11:28:24+08:00,2015-02-01,c2aef9247ed9e89ad5b19b4fec1b125bf22e673a,180,0,7,7,1.0,1312,54,20.273504273504273,15,42,4.481481481481482,2.0,13,20.14814814814815,8.0,52,20.037037037037038,8.0,52,0.1111111111111111,0.0,0,0.018518518518518517,38,5,24.696969696969695,2.0510204081632653,2.903172775452676,7.0,15.868421052631579,603,66,77,791,456,78
2014Q3,scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn.git,7121,0,2014-08-16T05:08:26Z,2014-08-16T01:10:13-04:00,2015-02-12,ecd89e2d7c6bc600faf4c089dfe8dba1834acc24,180,0,3,3,1.0,1166,27,60.62237762237762,60,100,2.5555555555555554,1,5,32.96296296296296,26,57,21.40740740740741,14,50,11.555555555555555,10,26,0.7777777777777778,3,1,nan,1.0,1.0,1.0,1.3333333333333333,4,0,0,4,96,3
2014Q3,tyiannak/pyAudioAnalysis,https://github.com/tyiannak/pyAudioAnalysis.git,6259,0,2014-08-27T12:43:13Z,2014-08-27T15:44:23+03:00,2015-02-23,89555b8c3b943340407abf3e26ea2c3b3158e95b,180,0,11,2,0.18181818181818182,3070,4,40.99082568807339,32,73,4.25,2.0,11,24,10.5,70,15.75,7.5,46,8.25,3.0,24,1.0,58,1,43.00418410041841,3.5982142857142856,6.963497784205799,17.5,33.275862068965516,1930,239,350,2519,1434,108
