repo,sha,unix_ts,author,n_files,n_hunks,added_lines,deleted_lines,hunk_added_sum,added_code_lines,added_code_chars,added_comment_lines,added_comment_chars,added_blank_lines
sqlalchemy,188cb4226ac7b337446689ab3498b4397d0b7d2d,1682389937,J. Nick Koston,10,10,29,5,25,16,523,0,0,9
sqlalchemy,040e0d2560c17ff490b2b0bbe193c7658d3b4603,1682108771,Federico Caselli,2,1,7,1,1,1,13,0,0,0
sqlalchemy,ff198e35f0e04b8d38df25df234e72259069b4d1,1681943958,J. Nick Koston,8,59,187,238,103,93,4017,2,50,8
sqlalchemy,a54ab6944e66830d99d7fd09a82766c392731920,1682537576,Mike Bayer,2,10,74,10,74,49,2741,6,257,19
sqlalchemy,6a0d61f12110624ad8709f67d4523e82bde262e5,1682519686,Mike Bayer,8,8,156,1,35,23,915,3,178,9
sqlalchemy,8ec396873c9bbfcc4416e55b5f9d8653554a1df0,1680364616,Mike Bayer,6,32,452,39,107,85,3519,9,531,13
sqlalchemy,105f18be353965b064750726597b63334fc0716b,1681943958,Federico Caselli,7,24,134,63,59,48,2117,3,172,8
sqlalchemy,deb810c56530298817e4081de59273c7f76a8b45,1682559440,Mike Bayer,1,1,1,0,1,1,23,0,0,0
sqlalchemy,a0b36e15d5ba390fb651ee1b83b0a143586d9244,1682559810,Mike Bayer,1,0,2,2,0,0,0,0,0,0
sqlalchemy,19956aa02134dff2bcab2e8818dd600fe2559526,1682560560,Mike Bayer,1,1,1,1,1,1,22,0,0,0
sqlalchemy,1329037bfed428e458547824a861ce1aa9df0c78,1682603347,Mike Bayer,1,0,10,8,0,0,0,0,0,0
sqlalchemy,7bf624eb616e88f33bcf3f8b11b9c5b7dd2ba890,1682328272,Federico Caselli,3,6,7,3,7,6,337,0,0,1
sqlalchemy,d9be22044d251c047b6306e767b2537c0ee12709,1682650818,Mike Bayer,1,1,1,1,1,1,30,0,0,0
sqlalchemy,f45f4a3afc3c260d50773c647eb7b1c270bb8e00,1682423224,Federico Caselli,10,13,258,79,74,63,3036,7,341,4
sqlalchemy,e7e09649761cfb4afc242c541ab403258e75edd5,1682628505,Mike Bayer,5,14,240,40,27,17,571,5,184,5
sqlalchemy,23a4538b0b1e750d09392e1c7eca67b1356294d8,1682762852,Federico Caselli,6,6,109,13,30,25,672,1,13,4
sqlalchemy,56443acb89e531b3695de669c76297e4a5568fc1,1682877393,Mike Bayer,2,8,71,6,20,17,778,0,0,3
sqlalchemy,5721f262db61edd06b392c063dc6aedadb61f6f4,1682890476,Mike Bayer,1,0,2,2,0,0,0,0,0,0
sqlalchemy,228490ead7048f2e558c25b0f055bdb952272ec4,1682890943,Mike Bayer,1,1,1,1,1,1,22,0,0,0
sqlalchemy,667a9ca21417f5ae9d2c5bd031506cf40c8e5909,1683167608,Mike Bayer,3,3,72,0,6,4,124,0,0,2
sqlalchemy,dc60e7a7d35a470c09ce590f37e949ff8e8cdcde,1683292570,Mike Bayer,2,4,83,1,12,10,462,0,0,2
sqlalchemy,671647c8574bd6ff4c39fe503a2b1958a802772d,1683321766,Federico Caselli,1,0,1,0,0,0,0,0,0,0
sqlalchemy,b3216486c417f7fb2abc0724563a1d21f9a835d9,1683301829,Mike Bayer,6,5,238,9,99,64,2916,2,97,33
sqlalchemy,a1a16a3509a286225ab28ba3a418e638b004f858,1683577187,Viicos,1,1,1,1,1,1,41,0,0,0
sqlalchemy,4a62625d99470c8928422c4822df5234b93b6bb8,1682698029,Mike Bayer,6,20,202,19,66,58,2400,2,76,6
sqlalchemy,ff821e57c960f095ab2988a0f892b3127374f498,1682538038,Federico Caselli,6,3,24,3,3,3,131,0,0,0
sqlalchemy,4e3806861b19a00203f95b6ecbe411a4e252d152,1683646410,Mike Bayer,2,1,27,8,5,0,0,3,128,2
sqlalchemy,8ee129d988c2499766b1f09c5e21383b88dcc204,1683645583,Mike Bayer,2,4,54,18,20,16,728,3,118,1
sqlalchemy,60b31198311eedfa3814e7098c94d3aa29338fdd,1682893644,Mike Bayer,26,13,194,138,47,26,903,8,448,13
sqlalchemy,189039b9d38343b482f1b077bbcf6f6ae99cbacd,1683731287,Mike Bayer,6,15,61,13,17,15,783,0,0,2
sqlalchemy,32fc4f3de20c9d983742b064e47f591342c42de2,1683751442,Mike Bayer,2,3,5,1,5,3,167,0,0,2
sqlalchemy,e0bf5ba169975d879c22bc61b1aaf4261ac0559f,1683757390,Mike Bayer,1,0,2,2,0,0,0,0,0,0
sqlalchemy,e00591ec27f63d9cc851bbb3cf4824bd5644a8b8,1683757829,Mike Bayer,1,1,1,1,1,1,22,0,0,0
sqlalchemy,73a273c90cda2369ec071435edd9c6dc5c1d31c4,1683770598,Mike Bayer,3,6,93,25,7,2,108,2,122,3
sqlalchemy,7db1ced9e33d33da89f934107eeabe9ac337ae5b,1683813970,Mike Bayer,2,10,74,26,40,37,1294,0,0,3
sqlalchemy,169d6e6804c0e6bbb5f8b2fa4217e659b49a0d9f,1683904852,Mike Bayer,2,2,28,3,2,2,103,0,0,0
sqlalchemy,11a1d5e70450300310ff7fafeeb03fe1baa9380e,1683916440,Mike Bayer,3,2,24,0,5,2,118,2,76,1
sqlalchemy,4b37ded2897c3ae9384ecdd6209699a0fdc513a3,1683949329,Mike Bayer,2,5,37,55,28,26,1085,0,0,2
sqlalchemy,9f7c97b40b6b6c738bd4cac7ae8bdc8803a88973,1683995551,Mike Bayer,4,9,217,3,49,42,1717,0,0,7
sqlalchemy,73533d4a4cdfaea3f769e7f58691ceb06aac8eed,1684165068,Mike Bayer,1,0,3,1,0,0,0,0,0,0
sqlalchemy,13fb60bfa6f6c7e07e00892365e7af493474e224,1684176621,Federico Caselli,1,1,3,1,3,2,72,1,70,0
sqlalchemy,499c9213744bb2ecab4a6dc2450d2744f8cf30c3,1684177257,Federico Caselli,1,1,1,1,1,1,12,0,0,0
sqlalchemy,be614e7a4e87054ff8d696ee7a3c496458f20b32,1684411278,Nick Crews,10,16,100,42,80,58,2619,0,0,22
sqlalchemy,caefe402d02374f81e92639217be880deda03b58,1684433186,Mike Bayer,1,0,2,2,0,0,0,0,0,0
sqlalchemy,9764a07c53a7627b7953e6df39428f7ce5af7600,1684433830,Mike Bayer,1,1,1,1,1,1,22,0,0,0
