year,adoption_rate,ai_sdk_edge_share
2014,0.02702702702702703,0.003401360544217687
2015,0.0,
2016,0.0,
2017,0.02631578947368421,
2018,0.0,
2019,0.0,0.003257328990228013
2020,0.02702702702702703,0.018633540372670808
2021,0.0,
2022,0.07894736842105263,0.04987531172069826
2023,0.05,0.10697115384615384
2024,0.15,0.0986093552465234
2025,0.5,0.1
2026,0.8888888888888888,0.08064516129032258
