stargazers_count,dependency_set,baseline_set
0-10,0.10040160642570281,0.81
10-100,0.1288487282463186,0.095
100-1k,0.35609103078982596,0.065
1k-10k,0.3112449799196787,0.025
10k+,0.10341365461847389,0.005
