metric,n,spearman_rho,p_value
stargazers_count,2788,0.34382010974348154,3.4201879513138546e-78
forks_count,2788,0.3440856133250879,2.5609323246448125e-78
total_committers,2173,0.29900024638421546,4.0312703775568565e-46
