forks_count,dependency_set,baseline_set
0-10,0.15327978580990628,0.865
10-100,0.3493975903614458,0.0725
100-1k,0.3386880856760375,0.045
1k-10k,0.14223560910307897,0.0175
10k+,0.01639892904953146,0.0
