dependency_name,fan_in
lightgbm,6
marshmallow,6
rapidfuzz,6
fuzzywuzzy,6
lark,6
opencv-contrib-python,6
flask-login,6
mistune,6
pathlib,6
pathlib2,6
mkdocs,6
langchain-ollama,6
validators,6
pefile,6
pep8,6
ml-collections,6
optimum,6
virtualenv,6
ipdb,5
discord-py,5
python-slugify,5
mlx,5
python-magic,5
s3fs,5
python-socketio,5
inflect,5
h2,5
mccabe,5
editdistance,5
supabase,5
python-json-logger,5
duckdb,5
realesrgan,5
theano,5
rpds-py,5
referencing,5
mypy-extensions,5
natsort,5
sqlalchemy-utils,5
sse-starlette,5
langchain-groq,5
reportlab,5
jupyterlab,5
flax,5
scrapy,5
sortedcontainers,5
jsonmerge,5
google-auth-oauthlib,5
lark-oapi,5
retrying,5
jaxlib,5
rouge-score,5
slack-sdk,5
netaddr,5
pickleshare,5
configparser,5
cssselect,5
azure-storage-blob,5
xlsxwriter,5
boto,5
pycurl,5
webencodings,5
webdriver-manager,5
truststore,5
weaviate-client,5
argon2-cffi,5
pyclipper,5
altair,5
coloredlogs,5
opentelemetry-exporter-otlp,5
xgboost,5
piexif,5
twilio,5
cn2an,5
pillow-heif,5
configobj,5
bottle,5
pinecone-client,5
pyfiglet,5
pyobjc-framework-cocoa,5
pynvml,5
pynput,5
decord,5
praw,5
awscli,5
uritemplate,5
undetected-chromedriver,5
tree-sitter-python,5
parso,5
openai-agents,5
pdf2image,5
unstructured,5
wget,4
mediapipe,4
pyreadline3,4
kaleido,4
onnxruntime-gpu,4
gitdb,4
tushare,4
socksio,4
google-ai-generativelanguage,4
colour,4
wetextprocessing,4
misaki,4
jsonpatch,4
email-validator,4
ema-pytorch,4
trl,4
terminaltables,4
mkdocs-material,4
google,4
levenshtein,4
portpicker,4
resampy,4
webrtcvad,4
beartype,4
opentelemetry-semantic-conventions,4
func-timeout,4
funasr,4
loralib,4
pywavelets,4
pywin32-ctypes,4
pbr,4
lmdb,4
umap-learn,4
langid,4
langchain-aws,4
paddlepaddle,4
flask-migrate,4
paddleocr,4
overrides,4
qwen-vl-utils,4
ordered-set,4
ldap3,4
capstone,4
funcsigs,4
lz4,4
