group,n_edges,n_packages,stargazers_count_median,stargazers_count_mean,forks_count_median,forks_count_mean,total_committers_median,total_committers_mean
non-flagged,3873,175,5706.5,19392.253942359977,806.0,3568.679173463839,115.0,498.4109467455621
AI-flagged,2191,121,7848.0,18199.232624113476,920.0,2865.065721040189,120.0,392.32894043226145
