metric,early_median(first 8Q),late_median(last 8Q),pct_change,slope_per_quarter
state_mean_func_len,12.247829875123923,24.881389001114513,103.14936813133,0.2559896944856085
state_mean_body_len,9.908308871493805,21.8432930953704,120.45430132091998,0.2531426897545077
state_mean_complexity,2.5872078311835045,4.370305640561061,68.91977474271512,0.03484942155709254
state_median_complexity,2.0,2.5,25.0,0.01404977375565609
state_mean_comment_len,41.254895960832314,42.74543521233187,3.612999661699993,0.13103210598246254
state_parse_rate,1.0,1.0,0.0,-5.262760599647165e-18
state_mean_docstring_len,1.1959642552673242,2.3178578265830443,93.80661389958954,0.018964294037102206
state_frac_functions_with_docstring,0.3103921291668477,0.49578557051287686,59.72878302154789,0.0030133200111026283
flow_mean_added_comment_len,43.16671061226202,43.69657601535808,1.2274861706639884,0.12514143354383145
flow_median_hunk_added,2.4333333333333336,4.428571428571429,81.99608610567513,0.03129504548116439
flow_median_added_code_lines_per_commit,5.25,16.375,211.9047619047619,0.19282805429864244
flow_n_commits,76.0,90.5,19.078947368421055,1.1419909502262426
flow_n_contributors,3.75,13.25,253.33333333333331,0.24131221719457005
