vintage_quarter,n_packages,state_mean_func_len__mean,state_mean_func_len__median,state_mean_func_len__p25,state_mean_func_len__p75,state_mean_body_len__mean,state_mean_body_len__median,state_mean_body_len__p25,state_mean_body_len__p75,state_mean_complexity__mean,state_mean_complexity__median,state_mean_complexity__p25,state_mean_complexity__p75,state_median_complexity__mean,state_median_complexity__median,state_median_complexity__p25,state_median_complexity__p75,state_mean_comment_len__mean,state_mean_comment_len__median,state_mean_comment_len__p25,state_mean_comment_len__p75,state_parse_rate__mean,state_parse_rate__median,state_parse_rate__p25,state_parse_rate__p75,state_mean_docstring_len__mean,state_mean_docstring_len__median,state_mean_docstring_len__p25,state_mean_docstring_len__p75,state_frac_functions_with_docstring__mean,state_frac_functions_with_docstring__median,state_frac_functions_with_docstring__p25,state_frac_functions_with_docstring__p75,flow_mean_added_comment_len__mean,flow_mean_added_comment_len__median,flow_mean_added_comment_len__p25,flow_mean_added_comment_len__p75,flow_median_hunk_added__mean,flow_median_hunk_added__median,flow_median_hunk_added__p25,flow_median_hunk_added__p75,flow_median_added_code_lines_per_commit__mean,flow_median_added_code_lines_per_commit__median,flow_median_added_code_lines_per_commit__p25,flow_median_added_code_lines_per_commit__p75,flow_n_commits__mean,flow_n_commits__median,flow_n_commits__p25,flow_n_commits__p75,flow_n_contributors__mean,flow_n_contributors__median,flow_n_contributors__p25,flow_n_contributors__p75
2014Q1,10,11.997513327213577,10.42302798564973,7.102564102564102,12.365853658536585,11.406628500492767,9.715729548569893,6.702564102564103,12.0,2.1986394061740766,2.1833130613772456,2.0,2.358974358974359,1.4,1.0,1.0,1.0,41.91214420280121,43.05717151454363,35.19718309859155,45.63358778625954,0.8173076923076923,0.9615384615384617,0.65,1.0,0.5908848267208127,0.4552026286966046,0.3076923076923077,0.9041916167664672,0.20614389170379238,0.1212165736115192,0.0769230769230769,0.2564102564102564,42.10451139306872,42.29801324503311,37.31182795698925,43.629955947136565,4.678527881814398,2.9444444444444446,2.6296296296296298,5.391760299625468,20.75,6.25,5.0,34.0,157.5,59.0,24,106,5.0,2.0,2,3
2014Q2,7,12.436607421210047,11.041666666666666,9.965361445783133,12.152815013404826,10.116195874330133,9.801608579088471,8.885057471264368,11.567567567567568,2.7779157421854315,2.75,2.335843373493976,3.131367292225201,1.8571428571428572,2.0,2.0,2.0,47.1340212330479,44.07142857142857,40.0,48.68,0.9521338449909879,1.0,0.925925925925926,1.0,2.3204115468799174,1.1428571428571428,0.2837837837837837,4.04,0.33873337763392813,0.3217158176943699,0.0675675675675675,0.6666666666666666,47.16214347985491,47.48310023310023,42.40361445783133,49.61538461538461,2.490196078431373,2.5,2.0,2.6666666666666665,7.285714285714286,6.0,1.0,9.0,219.14285714285714,102.0,34,330,7.714285714285714,4.0,3,11
2014Q3,10,16.874011910017934,16.691652823920265,10.081897186625424,20.14814814814815,13.473164806284178,13.8662772745986,9.928708204448371,16.023255813953487,3.0549237222795065,2.5801033591731266,2.39622641509434,4.25,1.6,1.0,1.0,2.0,38.901165561066094,41.12041284403669,30.61376994122586,43.56627634660421,0.9050670640834575,1.0,1.0,1.0,3.400847103733759,1.4175872558437401,0.4150943396226415,7.846153846153846,0.3532820634301107,0.26878344997941533,0.0566037735849056,0.5384615384615384,41.38560597619351,42.17909501358116,38.03291139240506,43.00418410041841,2.1610260770975054,2.0510204081632653,2.0,2.6,5.111111111111111,4.0,1.0,7.0,181.1,48.0,7,82,2.6,1.5,1,3
2014Q4,10,17.446936659092813,15.026229508196721,12.424242424242424,21.43220338983051,15.233942368961852,14.027868852459017,8.688311688311689,14.686440677966102,5.8082535632506325,3.1725047080979283,2.168831168831169,4.236363636363636,4.6,2.0,1.0,3.0,38.68233512340849,38.72458575906852,33.333333333333336,43.60215053763441,0.8351114192099635,1.0,0.8947368421052632,1.0,2.2129942901309647,1.2195727769498261,0.3246753246753247,4.08029197080292,0.4038792217462691,0.43351028533510283,0.2424242424242424,0.5555555555555556,39.679023365495866,41.16198620814808,32.06268656716418,48.05179282868526,2.6211824345866903,2.544318181818182,2.0,3.0,9.85,6.25,4.0,14.5,126.0,79.0,40,192,7.2,4.5,2,7
2015Q1,10,12.087863277747314,11.092174369747898,9.52601156069364,14.549586776859504,10.364630567416961,9.761904761904765,8.879581151832461,11.260330578512397,2.6711883586560448,2.5652078454332554,2.178010471204189,3.272893772893773,1.6,2.0,1.0,2.0,36.744085879580666,37.48977761836442,33.54240631163708,43.61427909133055,0.8700323118912229,0.929567131327953,0.8695652173913043,1.0,1.7232327103303517,1.0675381263616557,0.6370023419203747,2.318345323741007,0.3447837376488246,0.28026383963990215,0.0936768149882904,0.512396694214876,42.118308369370695,41.76376997257593,36.779322328410075,47.72297510242672,5.6344749694749705,2.5277777777777777,2.3166666666666664,3.0,50.45,7.0,5.0,17.0,369.2,184.5,117,597,14.0,4.0,1,14
2015Q2,9,14.492221479735488,10.689922480620154,9.359375,17.243386243386244,12.959594800557483,8.744186046511627,7.235144312393888,14.181818181818182,3.075956419342157,2.1121794871794872,2.019524617996604,4.105820105820106,1.8333333333333333,1.0,1.0,2.5,41.46240236136853,43.02903225806452,33.40659340659341,44.773775216138326,0.8309252475919142,0.9743589743589745,0.7777777777777778,1.0,1.5326266791780072,1.242503259452412,0.6602564102564102,1.9615384615384617,0.25525287519338824,0.1891025641025641,0.140625,0.4074074074074074,37.422231510566704,40.1802094618996,31.196319018404907,40.35157972079353,2.6649022728944014,2.0835866261398177,1.8541666666666663,2.5669642857142856,9.125,3.0,2.0,6.0,302.0,110.0,65,222,15.333333333333334,11.0,3,19
2015Q3,10,12.625218692599713,12.315322441960449,8.518248175182482,13.97799511002445,11.040034002671646,10.220973075106285,7.773722627737226,11.88,2.9544310470703876,2.8232419927406167,2.254278728606357,3.061049011177988,1.6,2.0,1.0,2.0,41.34267418004883,41.80137772675086,37.43089430894309,46.61306532663317,0.9316406299014994,0.9833333333333334,0.8888888888888888,1.0,1.5851846899280675,0.6482190578756332,0.2,1.7996560619088564,0.2177879686705903,0.12492521239679305,0.0566037735849056,0.3989681857265692,42.118148371540855,42.32898550724638,39.333333333333336,47.94871794871795,2.453095238095238,2.45,2.0,2.75,6.7,6.75,3.0,8.5,213.6,211.0,102,346,8.5,7.0,5,13
2015Q4,10,13.720701211569127,11.2,10.36317135549872,17.857142857142858,11.988382644986885,10.897435897435898,9.341432225063938,13.451612903225806,3.037768732055782,3.2142857142857144,2.3161290322580643,3.774193548387097,1.7222222222222223,2.0,1.0,2.0,32.64246434547456,33.14218009478673,31.692307692307693,40.23529411764706,0.9320512820512821,1.0,1.0,1.0,1.7323185665822411,1.46,0.75,1.8258064516129031,0.31917530455439863,0.3439897698209718,0.0833333333333333,0.4193548387096774,37.34436560039652,41.47770700636943,30.142857142857142,46.54090909090909,4.409674738841406,2.3819444444444446,2.0,2.5384615384615383,5.4,4.5,1.0,7.0,103.7,39.5,13,190,7.0,4.0,4,7
2016Q1,8,16.185928222419,15.210409745293466,9.107692307692307,20.94562647754137,14.130418827180069,13.300373852328331,8.692307692307692,16.095238095238095,3.1730093946996294,3.067657358355033,2.076923076923077,3.33806146572104,2.0,2.0,1.0,2.0,32.23228318577063,32.94003974167909,26.646840148698885,35.494949494949495,0.9295095457537854,0.9935483870967742,0.8571428571428571,1.0,2.0555093952389356,0.5800825206301575,0.0,2.216216216216216,0.22939974243187022,0.11494614725109845,0.0,0.1891891891891892,35.25266006627581,34.31874371562075,30.7,36.43636363636364,2.2790912518853697,2.0,2.0,2.235294117647059,10.875,6.5,4.0,8.0,181.375,149.0,52,281,14.75,7.5,1,22
2016Q2,10,14.737176795668603,12.326128336364789,8.561983471074381,14.549333333333331,11.54480619200431,10.340845144356955,7.371769383697813,12.622596153846152,2.6335561877326654,2.6457279276260683,2.082089552238806,3.002636783124588,1.5,1.0,1.0,2.0,39.693110756507465,41.44636713763334,39.44977168949771,44.07508250825082,0.9489357864357866,1.0,0.9595959595959596,1.0,3.19237060366429,1.5112010747222424,0.5653543307086614,4.478666666666666,0.35387177392023533,0.3173229596697364,0.1023622047244094,0.6746666666666666,41.83175745560617,43.56915726133317,42.08303393213573,45.02278275020342,2.4491029043196226,2.1315789473684212,2.0,2.5,5.45,5.5,4.0,6.0,278.8,202.5,140,396,17.8,14.0,9,20
