year,n_packages_star,adoption_rate_star,n_packages_unbiased,adoption_rate_unbiased,diff_pp
2014,120,0.008333333333333333,119,0.0,-0.8333333333333334
2015,120,0.0,120,0.0,0.0
2016,120,0.0,120,0.0,0.0
2017,120,0.008333333333333333,119,0.0,-0.8333333333333334
2018,120,0.008333333333333333,120,0.0,-0.8333333333333334
2019,120,0.0,120,0.0,0.0
2020,120,0.008333333333333333,120,0.0,-0.8333333333333334
2021,118,0.0,120,0.0,0.0
2022,120,0.025,120,0.008333333333333333,-1.666666666666667
2023,120,0.025,120,0.0,-2.5
2024,120,0.09166666666666666,120,0.008333333333333333,-8.333333333333332
2025,120,0.5166666666666667,120,0.10833333333333334,-40.833333333333336
2026,90,0.7333333333333333,30,0.43333333333333335,-29.999999999999993
