metric,star_trend_rho,star_trend_p,star_pct_change,unbiased_trend_rho,unbiased_trend_p,unbiased_pct_change,same_trend_direction,cross_cohort_quarterly_rho,cross_cohort_quarterly_p,n_quarters_compared
state_mean_func_len,0.9076018099547511,4.223096292469246e-20,103.14936813133,0.8054081632653061,2.9980299883197532e-12,49.40909300402691,True,0.7387755102040815,1.3599390485793813e-09,49
state_mean_body_len,0.9461538461538461,1.1907036525251518e-25,120.45430132091998,0.7983673469387755,6.357579398961114e-12,59.75182431346081,True,0.7333673469387754,2.0598302209628337e-09,49
state_mean_complexity,0.8507692307692308,2.699493316382662e-15,68.91977474271512,0.6927551020408163,3.4810468572499374e-08,41.739942046181675,True,0.6232653061224489,1.725376238694301e-06,49
state_median_complexity,0.5941274512174789,4.3018910213254205e-06,25.0,0.36258103661468866,0.010457453488577005,0.0,True,0.12567289403799284,0.3895582074468221,49
state_mean_comment_len,0.30832579185520365,0.027719452184586914,3.612999661699993,-0.23285714285714285,0.10736695179119889,-6.9855830937201,False,0.025408163265306122,0.8624206507344655,49
state_parse_rate,,,0.0,,,0.0,False,,,49
state_mean_docstring_len,0.5337556561085973,5.4959940276721074e-05,93.80661389958954,0.4014285714285714,0.0042527623283720225,96.05072287652887,True,0.4083673469387755,0.0035803660603917716,49
state_frac_functions_with_docstring,0.2779185520361991,0.048310977544191135,59.72878302154789,0.4813265306122449,0.0004631840632781516,108.8499403568336,True,0.33091836734693875,0.02020677412939313,49
flow_mean_added_comment_len,0.2912217194570136,0.03813918238113406,1.2274861706639884,-0.21489795918367346,0.13811736348286102,-6.5080741386968874,False,-0.2671428571428571,0.06350949307042135,49
flow_median_hunk_added,0.2792370868833879,0.047213337398135435,81.99608610567513,0.7361224489795918,1.6692444458400389e-09,72.75330128928142,True,0.1688308375763032,0.2461895329993325,49
flow_median_added_code_lines_per_commit,0.5983290838687748,3.5332534661247735e-06,211.9047619047619,0.8224885268952871,4.2340032555837663e-13,238.88888888888889,True,0.4828060658011707,0.00044221771185744415,49
flow_n_commits,0.35413367156941206,0.010786641604322002,19.078947368421055,-0.20275360060031233,0.16235446361085462,-18.64406779661017,False,-0.16245637393902207,0.26473642442438583,49
flow_n_contributors,0.7891384642349653,6.027893645108002e-12,253.33333333333331,-0.10512387857973438,0.47222345414902467,0.0,False,-0.0662910124616848,0.6508683304408804,49
