,mean_actual_over_trend
2014Q1,0.9822543814212062
2014Q2,0.9856049468416194
2014Q3,0.989729217571883
2014Q4,0.9884094750408217
2015Q1,0.9868312396410384
2015Q2,0.996292476818731
2015Q3,1.0027902685913495
2015Q4,1.0005911933159992
2016Q1,1.0034967757419253
2016Q2,1.0037994065220819
2016Q3,1.0069783050168764
2016Q4,1.0120193695167887
2017Q1,1.0146073057962173
2017Q2,1.0185846004561598
2017Q3,1.0183160936317315
2017Q4,1.0207825573506983
2018Q1,1.0341506506235127
2018Q2,1.0230629581082267
2018Q3,0.9914096097530039
2018Q4,0.9879217074947352
2019Q1,0.9846551343205215
2019Q2,0.9899761219768676
2019Q3,0.9905634070605137
2019Q4,0.9956910012504478
2020Q1,0.9952455121632857
2020Q2,1.0019030634590298
2020Q3,0.998968873426645
2020Q4,0.9934986218610218
2021Q1,0.9952626187856483
2021Q2,0.9959973047045099
2021Q3,0.997951630409951
2021Q4,0.9992153087599422
2022Q1,0.9984004846867028
2022Q2,0.9975409781982174
2022Q3,0.9975840219389024
2022Q4,1.0302251223191914
2023Q1,1.0325337605116278
2023Q2,1.03472799430556
2023Q3,1.0377256309249856
2023Q4,1.0373139547429644
2024Q1,1.0403834336965676
2024Q2,1.0436479783412485
2024Q3,1.047071066348997
2024Q4,1.0488227196579023
2025Q1,1.055768380138749
2025Q2,1.0606927775352903
2025Q3,1.0632151386853586
2025Q4,1.0708137136192253
2026Q1,1.0737977328005353
2026Q2,1.0784804295622146
