,mean_actual_over_trend
2014Q1,0.9975137046534209
2014Q2,0.9988101960133552
2014Q3,1.000949808106861
2014Q4,0.9961014012546885
2015Q1,0.9898932863483687
2015Q2,1.0034468210959548
2015Q3,1.0098643941162648
2015Q4,1.0026444004820525
2016Q1,1.002541925555318
2016Q2,1.0015438171733784
2016Q3,1.0003459211524461
2016Q4,1.0039732418356988
2017Q1,1.0020440454941726
2017Q2,1.0031797888820442
2017Q3,1.018268398277923
2017Q4,1.0195931292834461
2018Q1,1.0298291884569712
2018Q2,1.0235687606020842
2018Q3,0.9827314043561446
2018Q4,0.9764639047327943
2019Q1,0.9806845204690935
2019Q2,0.9869308865280952
2019Q3,0.9846789829146434
2019Q4,0.9883459146741815
2020Q1,0.9870065414675396
2020Q2,0.9973120382738305
2020Q3,0.993084061090008
2020Q4,0.9864933555055438
2021Q1,0.9885275267816335
2021Q2,1.0016984132994295
2021Q3,1.0016059068693193
2021Q4,1.0012003457985075
2022Q1,1.0132625702179492
2022Q2,1.0135837099907377
2022Q3,1.012490416866919
2022Q4,1.035863917545246
2023Q1,1.035709819233909
2023Q2,1.0361181424200905
2023Q3,1.0381255551061597
2023Q4,1.0361443561726986
2024Q1,1.0367165391834507
2024Q2,1.0366788345895264
2024Q3,1.038327894137115
2024Q4,1.0415117949937787
2025Q1,1.0427364672492192
2025Q2,1.044100118170752
2025Q3,1.0444967773301077
2025Q4,1.0473225883299926
2026Q1,1.0478919918639165
2026Q2,1.0508697126341575
