,mean_actual_over_trend
2014Q1,0.9901198314205013
2014Q2,0.9902438251510282
2014Q3,0.9931001358589141
2014Q4,0.987017295885494
2015Q1,0.9806434921030853
2015Q2,1.0015134200388172
2015Q3,1.0078973799845394
2015Q4,1.0024831716874503
2016Q1,1.0034221205466494
2016Q2,1.001386611669972
2016Q3,0.9995993759264005
2016Q4,1.0078333727403046
2017Q1,1.0064331655940204
2017Q2,1.0091781440148135
2017Q3,1.0176405156439015
2017Q4,1.0196524018166264
2018Q1,1.0389518570833707
2018Q2,1.0305791497187688
2018Q3,0.9860776905581243
2018Q4,0.9816788291202443
2019Q1,0.9841060300583315
2019Q2,0.9943483960803736
2019Q3,0.9933913782128923
2019Q4,0.9952426731654705
2020Q1,0.9953382517715804
2020Q2,1.0053264688551073
2020Q3,0.9987441936370975
2020Q4,0.9928864253160814
2021Q1,0.992193827382868
2021Q2,0.9984774478562489
2021Q3,0.9961522744102226
2021Q4,0.9937741631853685
2022Q1,1.0014234189452733
2022Q2,1.0015170633733612
2022Q3,1.0006559753382807
2022Q4,1.0338090365003971
2023Q1,1.0341604230691837
2023Q2,1.035591830838149
2023Q3,1.0385818750659126
2023Q4,1.0371981158193901
2024Q1,1.042776635188147
2024Q2,1.0444082392147225
2024Q3,1.046416638995467
2024Q4,1.045739254557851
2025Q1,1.0458810343386318
2025Q2,1.04691993200571
2025Q3,1.045961849367242
2025Q4,1.068549454178537
2026Q1,1.075584185263209
2026Q2,1.079289337183302
