,mean_actual_over_trend
2014Q1,1.0071613206406886
2014Q2,1.0021912740234051
2014Q3,1.001028081538014
2014Q4,1.0004258228937046
2015Q1,1.0016523908584838
2015Q2,1.002566133257936
2015Q3,1.0046921304943521
2015Q4,1.003547756154135
2016Q1,0.9996375224733113
2016Q2,0.9988397240274779
2016Q3,0.9979651499654645
2016Q4,0.9956502363586335
2017Q1,0.9934810764341023
2017Q2,0.9939098103254829
2017Q3,0.9964546850729536
2017Q4,0.9976278155395555
2018Q1,0.998158631120498
2018Q2,0.9967596689074547
2018Q3,0.9992562999199105
2018Q4,1.00155748392227
2019Q1,1.0003541221241095
2019Q2,0.9961923888926354
2019Q3,0.9974336444998704
2019Q4,0.9976304602694588
2020Q1,0.9996571425270246
2020Q2,1.0012245745092403
2020Q3,1.0019696649589447
2020Q4,1.0017561562149104
2021Q1,1.0038541003592907
2021Q2,1.0028702224117292
2021Q3,1.0024149144555323
2021Q4,1.0025889265897465
2022Q1,1.000752926392115
2022Q2,0.9998877944750844
2022Q3,0.999144851634
2022Q4,0.9963054369125945
2023Q1,0.9927875546903774
2023Q2,0.9924899374937188
2023Q3,0.9928891628168619
2023Q4,0.992454516796719
2024Q1,0.9900948958852689
2024Q2,0.9903873774092478
2024Q3,0.9889229341509761
2024Q4,0.9896011796771745
2025Q1,0.9911819244301325
2025Q2,0.9921844069584533
2025Q3,0.9893781402500009
2025Q4,0.9894484683068734
2026Q1,0.988553485894289
2026Q2,0.9890991358954538
