metric,first_value,last_value,ols_slope_per_period,ols_r2,ols_p,spearman_rho,spearman_p
unique_ratio,0.5870736086175943,0.3598645215918713,-0.019331017142230757,0.9322013957941251,9.035337958235897e-08,-0.9780219780219779,7.757814031393615e-09
hhi,0.006997605149412246,0.008248725050384974,-0.0004422790581640398,0.3202762668573757,0.04379464365775178,-0.46703296703296704,0.1076091403991392
share_edges_to_global_top20,0.15798922800718132,0.2743437764606266,0.0010269122751527908,0.006653653326333182,0.7910781579424329,0.06593406593406594,0.8305423857560938
median_dep_stars,2848.0,8868.0,476.39285714285717,0.6319490149201401,0.0011632294801534522,0.8115551006240759,0.0007565232992187446
mean_dep_stars,9641.065510597302,19246.31778169014,703.1596719230755,0.6364271054194253,0.001084444352116962,0.7197802197802198,0.005536115775787642
median_dep_forks,507.0,991.0,30.093406593406595,0.25547671367882197,0.07806587467097122,0.5138199967021418,0.07246899411505407
median_dep_committers,122.0,120.0,-3.565934065934066,0.14732190950007204,0.1954089120218261,-0.47592892341683096,0.10018480498473654
