metric,first_value,last_value,ols_slope_per_period,ols_r2,ols_p,spearman_rho,spearman_p
unique_ratio,0.7684210526315789,0.49731182795698925,-0.0042475110647920145,0.5990711515182978,2.7258742316974498e-11,-0.7728506787330316,3.0412974073740146e-11
hhi,0.018504155124653737,0.01185108104983235,-0.00026934299397008056,0.4027093129093943,5.712544651828858e-07,-0.6678733031674207,8.60696895828691e-08
share_edges_to_global_top20,0.15789473684210525,0.3172043010752688,7.3130644656611334e-06,2.7403489333053425e-06,0.9908015198089355,-0.019276018099547508,0.8931985696604936
median_dep_stars,2941.0,10939.0,100.10221719457014,0.2632462379014073,0.00011818071945642094,0.5651839455535339,1.552985349688277e-05
mean_dep_stars,11449.068181818182,22697.558659217877,170.06835178773295,0.3372312833106504,7.91802276165363e-06,0.5617194570135746,1.7964880203788663e-05
median_dep_forks,379.5,1245.0,6.071221719457014,0.05643326576967405,0.09323761945732224,0.3014504597361584,0.03157897738330715
median_dep_committers,120.0,164.0,-1.3582805429864255,0.06861761952784394,0.06332705773269363,-0.2697881526764271,0.05554656650214981
