metric,first_value,last_value,ols_slope_per_period,ols_r2,ols_p,spearman_rho,spearman_p
unique_ratio,0.5863309352517986,0.3821062441752097,-0.016773967071911335,0.9368617673871943,6.094387159905965e-08,-0.9780219780219779,7.757814031393615e-09
hhi,0.007019564204751307,0.00872991125907538,-0.00042309441531779307,0.2896173063794001,0.05780111620328228,-0.48901098901098894,0.08991308230865638
share_edges_to_global_top20,0.1564748201438849,0.2637465051258155,-0.00021268332035232816,0.0002689722287817175,0.9575909978403514,0.03846153846153846,0.9007243023389337
median_dep_stars,2801.0,7760.0,300.728021978022,0.4309010028046138,0.014812355940372286,0.6813186813186813,0.010340409451492893
mean_dep_stars,9598.756756756757,16284.557392996108,333.7105241575149,0.24725933335856737,0.08382841075800153,0.45604395604395603,0.11728306543614495
median_dep_forks,504.0,860.5,16.214285714285715,0.08540030791532316,0.33260971068054557,0.2703471421019684,0.37167763232310924
median_dep_committers,122.5,120.0,-4.093406593406594,0.18746727914478242,0.1394483843943527,-0.5338993509479735,0.06020200258791089
