name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
nnaudio,True,https://github.com/KinWaiCheuk/nnAudio,165893.0,1126.0,97.0,18.0,21.0,16.0,225.0,False
nodeenv,True,https://github.com/ekalinin/nodeenv,197483666.0,1791.0,222.0,30.0,32.0,106.0,550.0,False
norbert,True,https://github.com/sigsep/norbert,16805.0,192.0,24.0,13.0,2.0,,,False
nose,True,https://github.com/nose-devs/nose,8132086.0,1361.0,389.0,44.0,452.0,96.0,863.0,False
notebook,True,https://github.com/jupyter/notebook,44692755.0,11676.0,4920.0,325.0,1960.0,675.0,10219.0,False
nuitka,True,https://github.com/Nuitka/Nuitka,533305.0,11945.0,642.0,138.0,172.0,139.0,10144.0,False
num2words,True,https://github.com/savoirfairelinux/num2words,9305058.0,969.0,551.0,38.0,239.0,138.0,574.0,False
numba,True,,79516862.0,,,,,,,
numexpr,True,https://github.com/pydata/numexpr,14480422.0,2536.0,227.0,54.0,4.0,75.0,776.0,False
numpy,True,https://github.com/numpy/numpy,957983231.0,32629.0,12691.0,600.0,2341.0,1838.0,28226.0,False
numpydoc,True,https://github.com/numpy/numpydoc,1909847.0,354.0,180.0,29.0,134.0,89.0,553.0,False
nvidia-ml-py,True,,19375382.0,,,,,,,
nvidia-ml-py3,True,,537661.0,,,,,,,
oauth-cli-kit,True,,254285.0,,,,,,,
oauth2client,True,https://github.com/google/oauth2client,36096963.0,793.0,425.0,8.0,2.0,,,True
oauthlib,True,https://github.com/oauthlib/oauthlib,279158832.0,2980.0,527.0,61.0,120.0,205.0,1254.0,False
ocrmac,True,https://github.com/straussmaximilian/ocrmac,48226.0,451.0,36.0,2.0,10.0,1.0,14.0,False
ocrmypdf,True,https://github.com/ocrmypdf/OCRmyPDF,1206452.0,13986.0,1011.0,136.0,109.0,100.0,3617.0,False
olefile,True,https://github.com/decalage2/olefile,26681498.0,272.0,85.0,15.0,67.0,23.0,351.0,False
ollama,True,https://github.com/ollama/ollama-python,20589399.0,10469.0,1155.0,78.0,186.0,24.0,115.0,False
omegaconf,True,https://github.com/omry/omegaconf,36227202.0,2430.0,158.0,18.0,32.0,31.0,1012.0,False
onnx,True,https://github.com/onnx/onnx,14599988.0,17846.0,3670.0,437.0,353.0,336.0,2553.0,False
onnx-simplifier,True,,48776.0,3764.0,379.0,51.0,161.0,15.0,283.0,False
onnxruntime,True,https://github.com/microsoft/onnxruntime,72961476.0,14568.0,2916.0,246.0,2850.0,710.0,11430.0,False
onnxruntime-gpu,True,https://github.com/microsoft/onnxruntime,2317531.0,21590.0,4153.0,263.0,1602.0,727.0,11681.0,False
onnxruntime-silicon,True,https://github.com/microsoft/onnxruntime,3039.0,21767.0,4208.0,263.0,1696.0,727.0,11681.0,False
openai,True,https://github.com/openai/openai-python,367460454.0,31557.0,5173.0,410.0,660.0,115.0,719.0,False
openai-harmony,True,,6049296.0,,,,,,,
openai-whisper,True,https://github.com/openai/whisper,4954094.0,108531.0,13151.0,782.0,145.0,45.0,99.0,False
openaiauth,True,https://github.com/acheong08/OpenAIAuth,13476.0,465.0,137.0,9.0,4.0,3.0,52.0,True
openapi-pydantic,True,https://github.com/mike-oakley/openapi-pydantic,52993158.0,122.0,22.0,1.0,13.0,,,False
openapi-schema-pydantic,True,https://github.com/kuimono/openapi-schema-pydantic,1084252.0,122.0,22.0,3.0,13.0,7.0,60.0,False
opencv-contrib-python,True,https://github.com/opencv/opencv-python,22348852.0,5375.0,1038.0,85.0,200.0,50.0,853.0,False
opencv-python,True,https://github.com/opencv/opencv-python,49435341.0,5377.0,1037.0,85.0,202.0,50.0,853.0,False
opencv-python-headless,True,https://github.com/opencv/opencv-python,44715992.0,5377.0,1037.0,85.0,202.0,50.0,853.0,False
